total_bill,tip,sex,smoker,day,time,size,tips_pct
3.07,1,Female,Yes,Sat,Dinner,1,0.483091787
11.61,3.39,Male,No,Sat,Dinner,2,0.412408759
23.17,6.5,Male,Yes,Sun,Dinner,4,0.389922016
14.31,4,Female,Yes,Sat,Dinner,2,0.387972842
7.51,2,Male,No,Thur,Lunch,2,0.362976407
16.32,4.3,Female,Yes,Fri,Dinner,2,0.357737105
13.42,3.48,Female,Yes,Fri,Lunch,2,0.350100604
10.29,2.6,Female,No,Sun,Dinner,2,0.33810143
23.33,5.65,Male,Yes,Sun,Dinner,2,0.319570136
20.69,5,Male,No,Sun,Dinner,5,0.318674315
16.58,4,Male,Yes,Thur,Lunch,2,0.317965024
16.82,4,Male,Yes,Sun,Dinner,2,0.31201248
24.71,5.85,Male,No,Thur,Lunch,2,0.310180276
28.17,6.5,Female,Yes,Sat,Dinner,3,0.299953853
8.77,2,Male,No,Sun,Dinner,2,0.295420975
16.29,3.71,Male,No,Sun,Dinner,3,0.29491256
17.92,4.08,Male,No,Sat,Dinner,2,0.294797688
22.23,5,Male,No,Sun,Dinner,2,0.290191526
8.58,1.92,Male,Yes,Fri,Lunch,1,0.288288288
11.35,2.5,Female,Yes,Fri,Dinner,2,0.282485876
13.94,3.06,Male,No,Sun,Dinner,2,0.28125
18.28,4,Male,No,Thur,Lunch,2,0.280112045
14.78,3.23,Male,No,Sun,Dinner,2,0.27965368
14,3,Male,No,Sat,Dinner,2,0.272727273
18.71,4,Male,Yes,Thur,Lunch,3,0.271923861
19.81,4.19,Female,Yes,Thur,Lunch,2,0.268245839
13.16,2.75,Female,No,Thur,Lunch,2,0.264169068
16.97,3.5,Female,No,Sun,Dinner,3,0.259836674
18.24,3.76,Male,No,Sat,Dinner,2,0.259668508
18.29,3.76,Male,Yes,Sat,Dinner,4,0.258774948
13.28,2.72,Male,No,Sat,Dinner,2,0.257575758
16.66,3.4,Male,No,Thur,Lunch,2,0.256410256
29.03,5.92,Male,No,Sat,Dinner,3,0.256166162
14.83,3.02,Female,No,Sun,Dinner,2,0.255715495
17.31,3.5,Female,No,Sun,Dinner,2,0.253439537
12.48,2.52,Female,No,Thur,Lunch,2,0.253012048
17.47,3.5,Female,No,Thur,Lunch,2,0.250536865
15.81,3.16,Male,Yes,Sat,Dinner,2,0.249802372
12.54,2.5,Male,No,Sun,Dinner,2,0.249003984
25.89,5.16,Male,Yes,Sat,Dinner,4,0.248914616
15.06,3,Female,No,Sat,Dinner,2,0.248756219
10.09,2,Female,Yes,Fri,Lunch,2,0.247218789
21.7,4.3,Male,No,Sat,Dinner,2,0.247126437
20.49,4.06,Male,Yes,Sat,Dinner,2,0.247108947
25.28,5,Female,Yes,Sat,Dinner,2,0.246548323
11.69,2.31,Male,No,Thur,Lunch,2,0.246268657
12.66,2.5,Male,No,Sun,Dinner,2,0.246062992
50.81,10,Male,Yes,Sat,Dinner,3,0.245037981
16.47,3.23,Female,Yes,Thur,Lunch,3,0.243957704
34.3,6.7,Male,No,Thur,Lunch,6,0.242753623
15.38,3,Female,Yes,Fri,Dinner,2,0.242326333
20.92,4.08,Female,No,Sat,Dinner,2,0.242280285
13.39,2.61,Female,No,Sun,Dinner,2,0.242115028
20.53,4,Male,Yes,Thur,Lunch,4,0.241984271
10.33,2,Female,No,Thur,Lunch,2,0.240096038
10.34,2,Male,Yes,Thur,Lunch,2,0.239808153
15.53,3,Male,Yes,Sat,Dinner,2,0.239425379
18.15,3.5,Female,Yes,Sun,Dinner,3,0.23890785
39.42,7.58,Male,No,Sat,Dinner,4,0.238065327
15.69,3,Male,Yes,Sat,Dinner,3,0.236406619
7.56,1.44,Male,No,Thur,Lunch,2,0.235294118
13.27,2.5,Female,Yes,Sat,Dinner,2,0.232126277
10.63,2,Female,Yes,Sat,Dinner,2,0.23174971
15.98,3,Female,No,Fri,Lunch,3,0.231124807
25.29,4.71,Male,No,Sun,Dinner,4,0.228862974
48.33,9,Male,No,Sat,Dinner,4,0.228832952
7.74,1.44,Male,Yes,Sat,Dinner,2,0.228571429
32.4,6,Male,No,Sun,Dinner,4,0.227272727
27.05,5,Female,No,Thur,Lunch,6,0.22675737
30.4,5.6,Male,No,Sun,Dinner,4,0.225806452
17.78,3.27,Male,No,Sat,Dinner,2,0.225361819
10.07,1.83,Female,No,Thur,Lunch,1,0.222087379
21.58,3.92,Male,No,Sun,Dinner,2,0.221970555
16.93,3.07,Female,No,Sat,Dinner,3,0.221500722
12.16,2.2,Male,Yes,Fri,Lunch,2,0.220883534
19.49,3.51,Male,No,Sun,Dinner,2,0.219649562
11.02,1.98,Male,Yes,Sat,Dinner,2,0.219026549
8.35,1.5,Female,No,Thur,Lunch,2,0.218978102
18.26,3.25,Female,No,Thur,Lunch,2,0.216522318
14.07,2.5,Male,No,Sun,Dinner,2,0.216076059
9.78,1.73,Male,No,Thur,Lunch,2,0.214906832
17.07,3,Female,No,Sat,Dinner,3,0.213219616
11.38,2,Female,No,Thur,Lunch,2,0.213219616
14.26,2.5,Male,No,Thur,Lunch,2,0.212585034
12.76,2.23,Female,Yes,Sat,Dinner,2,0.211775878
5.75,1,Female,Yes,Fri,Dinner,2,0.210526316
8.52,1.48,Male,No,Thur,Lunch,2,0.210227273
23.1,4,Male,Yes,Sun,Dinner,3,0.209424084
29.85,5.14,Female,No,Sun,Dinner,5,0.20801295
17.92,3.08,Male,Yes,Sat,Dinner,2,0.20754717
17.51,3,Female,Yes,Sun,Dinner,2,0.206753963
25.21,4.29,Male,Yes,Sat,Dinner,2,0.205066922
25.56,4.34,Male,No,Sun,Dinner,4,0.204524034
29.93,5.07,Male,No,Sun,Dinner,4,0.203942076
20.9,3.5,Female,Yes,Sun,Dinner,3,0.201149425
21.01,3.5,Male,No,Sun,Dinner,3,0.19988578
10.27,1.71,Male,No,Sun,Dinner,2,0.199766355
18.04,3,Male,No,Sun,Dinner,2,0.199468085
18.29,3,Male,No,Sun,Dinner,2,0.196206671
12.02,1.97,Male,No,Sat,Dinner,2,0.1960199
12.26,2,Female,No,Thur,Lunch,2,0.194931774
21.5,3.5,Male,No,Sun,Dinner,4,0.194444444
18.43,3,Male,No,Sun,Dinner,4,0.194426442
20.65,3.35,Male,No,Sat,Dinner,3,0.193641618
10.33,1.67,Female,No,Sun,Dinner,3,0.192840647
10.34,1.66,Male,No,Sun,Dinner,3,0.19124424
19.82,3.18,Male,No,Sat,Dinner,2,0.191105769
31.27,5,Male,No,Sat,Dinner,3,0.190331176
18.78,3,Female,No,Thur,Dinner,2,0.190114068
17.26,2.74,Male,No,Sun,Dinner,3,0.188705234
20.29,3.21,Male,Yes,Sat,Dinner,2,0.18793911
12.74,2.01,Female,Yes,Thur,Lunch,2,0.187325256
12.69,2,Male,No,Sat,Dinner,2,0.187090739
9.94,1.56,Male,No,Sun,Dinner,2,0.186157518
20.08,3.15,Male,No,Sat,Dinner,3,0.186060248
17.29,2.71,Male,No,Thur,Lunch,2,0.185871056
11.24,1.76,Male,Yes,Sat,Dinner,2,0.185654008
22.49,3.5,Male,No,Fri,Dinner,2,0.18430753
25.71,4,Female,No,Sun,Dinner,3,0.184246891
22.42,3.48,Female,Yes,Sat,Dinner,2,0.18373812
19.44,3,Male,Yes,Thur,Lunch,2,0.182481752
13,2,Female,Yes,Thur,Lunch,2,0.181818182
13,2,Female,Yes,Thur,Lunch,2,0.181818182
16.27,2.5,Female,Yes,Fri,Lunch,2,0.181554103
13.03,2,Male,No,Thur,Lunch,2,0.181323663
32.68,5,Male,Yes,Thur,Lunch,2,0.180635838
19.65,3,Female,No,Sat,Dinner,2,0.18018018
16.4,2.5,Female,Yes,Thur,Lunch,2,0.179856115
13.13,2,Male,No,Sun,Dinner,2,0.179694519
10.59,1.61,Female,Yes,Sat,Dinner,2,0.179287305
9.55,1.45,Male,No,Sat,Dinner,2,0.179012346
16.45,2.47,Female,No,Sat,Dinner,2,0.176680973
17.59,2.64,Male,No,Sat,Dinner,3,0.176588629
25,3.75,Female,No,Sun,Dinner,4,0.176470588
24.06,3.6,Male,No,Sat,Dinner,3,0.175953079
13.37,2,Male,No,Sat,Dinner,2,0.175901495
34.81,5.2,Female,No,Sun,Dinner,4,0.175616346
14.73,2.2,Female,No,Sat,Dinner,2,0.175578611
34.83,5.17,Female,No,Thur,Lunch,4,0.174308833
13.51,2,Male,Yes,Thur,Lunch,2,0.173761946
27.2,4,Male,No,Thur,Lunch,4,0.172413793
8.51,1.25,Female,No,Thur,Lunch,2,0.172176309
24.59,3.61,Female,No,Sun,Dinner,4,0.172068637
20.45,3,Male,No,Sat,Dinner,4,0.171919771
27.28,4,Male,Yes,Fri,Dinner,2,0.171821306
17.46,2.54,Male,No,Sun,Dinner,2,0.170241287
13.81,2,Male,Yes,Sat,Dinner,2,0.16934801
13.81,2,Male,No,Sun,Dinner,2,0.16934801
12.43,1.8,Female,No,Thur,Lunch,2,0.169332079
22.75,3.25,Female,No,Fri,Dinner,2,0.166666667
21.01,3,Male,Yes,Fri,Dinner,2,0.166574125
24.52,3.48,Male,No,Sun,Dinner,3,0.16539924
31.71,4.5,Male,No,Sun,Dinner,4,0.165380375
35.26,5,Female,No,Sun,Dinner,4,0.165234633
21.16,3,Male,No,Thur,Lunch,2,0.165198238
15.77,2.23,Female,No,Sat,Dinner,2,0.164697194
14.15,2,Female,No,Thur,Lunch,2,0.164609053
29.8,4.2,Female,No,Thur,Lunch,6,0.1640625
10.65,1.5,Female,No,Thur,Lunch,2,0.163934426
16.43,2.3,Female,No,Thur,Lunch,2,0.162774239
23.68,3.31,Male,No,Sun,Dinner,2,0.162493864
16.04,2.24,Male,No,Sat,Dinner,3,0.162318841
20.27,2.83,Female,No,Thur,Lunch,2,0.162270642
48.27,6.73,Male,No,Sat,Dinner,4,0.162012518
15.01,2.09,Male,Yes,Sat,Dinner,2,0.161764706
14.48,2,Male,Yes,Sun,Dinner,2,0.16025641
7.25,1,Female,No,Sat,Dinner,1,0.16
14.52,2,Female,No,Thur,Lunch,2,0.159744409
11.87,1.63,Female,No,Thur,Lunch,2,0.159179688
10.77,1.47,Male,No,Sat,Dinner,2,0.158064516
9.68,1.32,Male,No,Sun,Dinner,2,0.157894737
18.35,2.5,Male,No,Sat,Dinner,4,0.157728707
20.29,2.75,Female,No,Sat,Dinner,2,0.156784493
11.17,1.5,Female,No,Thur,Lunch,2,0.155118925
22.76,3,Male,No,Thur,Lunch,2,0.151821862
17.81,2.34,Male,No,Sat,Dinner,4,0.151260504
15.48,2.02,Male,Yes,Thur,Lunch,2,0.150074294
35.83,4.67,Female,No,Sat,Dinner,3,0.14987163
15.04,1.96,Male,No,Sun,Dinner,2,0.149847095
22.12,2.88,Female,Yes,Sat,Dinner,2,0.14968815
11.59,1.5,Male,Yes,Sat,Dinner,2,0.148662042
26.59,3.41,Male,Yes,Sat,Dinner,3,0.147109577
15.98,2.03,Male,No,Thur,Lunch,2,0.145519713
15.95,2,Male,No,Thur,Lunch,2,0.143369176
13.42,1.68,Female,No,Thur,Lunch,2,0.143100511
16,2,Male,Yes,Thur,Lunch,2,0.142857143
12.03,1.5,Male,Yes,Fri,Dinner,2,0.142450142
10.07,1.25,Male,No,Sat,Dinner,2,0.141723356
18.69,2.31,Male,No,Sat,Dinner,3,0.141025641
16.21,2,Female,No,Sun,Dinner,3,0.140745954
16.31,2,Male,No,Sat,Dinner,3,0.139762404
41.19,5,Male,No,Thur,Lunch,5,0.138159713
16.49,2,Male,No,Sun,Dinner,4,0.138026225
24.08,2.92,Female,No,Thur,Lunch,4,0.137996219
12.46,1.5,Male,No,Fri,Dinner,2,0.136861314
10.51,1.25,Male,No,Sat,Dinner,2,0.134989201
20.69,2.45,Female,No,Sat,Dinner,4,0.134320175
40.17,4.73,Male,Yes,Fri,Dinner,4,0.133465011
13.42,1.58,Male,Yes,Fri,Lunch,2,0.133445946
26.86,3.14,Female,Yes,Sat,Dinner,2,0.13237774
26.88,3.12,Male,No,Sun,Dinner,4,0.131313131
43.11,5,Female,Yes,Thur,Lunch,4,0.13119916
17.89,2,Male,Yes,Sun,Dinner,2,0.125865324
20.76,2.24,Male,No,Sun,Dinner,2,0.120950324
15.36,1.64,Male,Yes,Sat,Dinner,2,0.119533528
28.15,3,Male,Yes,Sat,Dinner,5,0.119284294
23.95,2.55,Male,No,Sun,Dinner,2,0.119158879
34.65,3.68,Male,Yes,Sun,Dinner,4,0.118824669
38.07,4,Male,No,Sun,Dinner,3,0.117405342
48.17,5,Male,No,Sun,Dinner,6,0.115821172
28.97,3,Male,Yes,Fri,Dinner,2,0.115517905
30.14,3.09,Female,Yes,Sat,Dinner,4,0.114232902
34.63,3.55,Male,Yes,Sun,Dinner,2,0.114221364
15.42,1.57,Male,No,Sun,Dinner,2,0.113357401
19.77,2,Male,No,Sun,Dinner,4,0.11254924
31.85,3.18,Male,Yes,Sun,Dinner,2,0.110917335
20.23,2.01,Male,No,Sat,Dinner,2,0.110318332
17.82,1.75,Male,No,Sat,Dinner,2,0.108898569
15.69,1.5,Male,Yes,Sun,Dinner,2,0.105708245
22.82,2.18,Male,No,Thur,Lunch,3,0.105620155
32.9,3.11,Male,Yes,Sun,Dinner,2,0.104397449
28.44,2.56,Male,Yes,Thur,Lunch,2,0.098918083
22.67,2,Male,Yes,Sat,Dinner,2,0.096758587
12.9,1.1,Female,Yes,Sat,Dinner,2,0.093220339
24.27,2.03,Male,Yes,Sat,Dinner,2,0.091276978
24.01,2,Male,Yes,Sat,Dinner,4,0.090867787
24.55,2,Male,No,Sun,Dinner,4,0.088691796
12.6,1,Male,Yes,Sat,Dinner,2,0.086206897
38.01,3,Male,Yes,Sat,Dinner,4,0.085689803
19.08,1.5,Male,No,Thur,Lunch,2,0.085324232
38.73,3,Male,Yes,Sat,Dinner,4,0.083963056
45.35,3.5,Male,Yes,Sun,Dinner,3,0.083632019
40.55,3,Male,Yes,Sun,Dinner,2,0.079893475
27.18,2,Female,Yes,Sat,Dinner,2,0.079428118
18.64,1.36,Female,No,Thur,Lunch,3,0.078703704
28.55,2.05,Male,No,Sun,Dinner,3,0.077358491
30.06,2,Male,Yes,Sat,Dinner,3,0.071275837
30.46,2,Male,Yes,Sun,Dinner,5,0.070274069
16.99,1.01,Female,No,Sun,Dinner,2,0.063204005
26.41,1.5,Female,No,Sat,Dinner,2,0.06021678
44.3,2.5,Female,Yes,Sat,Dinner,3,0.059808612
32.83,1.17,Male,Yes,Sat,Dinner,2,0.036955148
